model,run,horizon,avg_epoch_time_s,e2e_until_best_s,total_fit_time_s,best_epoch,best_ckpt,inference_time_s,mse,rmse,mae,mape,smape
TiDE,1,25,78.02383527755737,782.6576519012451,1173.0448367595673,9,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_1/horizon_25/best-epoch=09-val_loss=0.0000.ckpt,18.31470012664795,5.10540594405029e-05,0.007145212343975712,0.0032269114162772894,0.9432017207145691,39.28268849849701
TiDE,2,25,79.06875858306884,800.8501131534576,1187.8540976047516,9,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_2/horizon_25/best-epoch=09-val_loss=0.0000.ckpt,17.69528102874756,4.989207081962377e-05,0.0070634319434410755,0.0031227711588144302,0.5404877066612244,37.23956346511841
TiDE,3,25,78.29115978040193,1094.870433807373,1489.9025974273682,13,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_3/horizon_25/best-epoch=13-val_loss=0.0000.ckpt,18.625954151153564,5.419330045697279e-05,0.0073616099093182594,0.0034052515402436256,0.7061479091644287,39.821723103523254
TiDE,4,25,78.64290461540222,788.978946685791,1181.7014322280884,9,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_4/horizon_25/best-epoch=09-val_loss=0.0000.ckpt,17.395723819732666,5.227554720477201e-05,0.007230183068551723,0.003349252277985215,0.8764440417289734,39.274728298187256
TiDE,1,30,78.70433692932129,1173.2154352664948,1576.4202539920807,14,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_1/horizon_30/best-epoch=14-val_loss=0.0000.ckpt,17.87216591835022,4.6290842874441296e-05,0.006803737419568843,0.0028198466170579195,0.6911869645118713,35.41424870491028
TiDE,2,30,78.67987349629402,860.8660008907318,1260.7997703552246,10,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_2/horizon_30/best-epoch=10-val_loss=0.0000.ckpt,17.143439054489136,5.372040322981775e-05,0.007329420388394825,0.0033008786849677563,0.9075592756271362,36.94424629211426
TiDE,3,30,77.82977105441846,1092.1339840888977,1481.0963878631592,13,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_3/horizon_30/best-epoch=13-val_loss=0.0000.ckpt,17.772936820983887,4.9292168114334345e-05,0.007020838134748183,0.0030937455594539642,0.8549073934555054,36.58825159072876
TiDE,4,30,77.3419721364975,1155.0590291023254,1549.234968662262,14,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_4/horizon_30/best-epoch=14-val_loss=0.0000.ckpt,17.536516427993774,5.275696094031446e-05,0.007263398718252665,0.0032862641382962465,1.1920443773269653,36.837464570999146
TiDE,1,35,81.68557211558024,808.1768009662628,1227.2742998600006,9,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_1/horizon_35/best-epoch=09-val_loss=0.0000.ckpt,17.934289693832397,5.593257083091885e-05,0.007478808115663808,0.0035078530199825764,0.8837559223175049,39.838966727256775
TiDE,2,35,79.65158202250798,557.7078351974487,957.3269937038422,6,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_2/horizon_35/best-epoch=06-val_loss=0.0000.ckpt,18.450202703475952,5.486248846864328e-05,0.007406921659410424,0.0036095462273806334,0.7640501856803894,44.742563366889954
TiDE,3,35,78.37482266426086,775.2861285209656,1177.4825479984283,9,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_3/horizon_35/best-epoch=09-val_loss=0.0000.ckpt,18.08038854598999,5.030495594837703e-05,0.007092598673855516,0.003022341523319483,0.7456951141357422,34.196069836616516
TiDE,4,35,79.40086889266968,1269.0147461891174,1670.0664529800415,15,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_4/horizon_35/best-epoch=15-val_loss=0.0000.ckpt,17.563212156295776,5.3344298066804186e-05,0.0073037180988044835,0.003251922782510519,0.8664174675941467,36.691391468048096
TiDE,1,40,82.19750715556897,1157.7647445201874,1564.2094821929932,13,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_1/horizon_40/best-epoch=13-val_loss=0.0000.ckpt,18.24222493171692,5.216602221480571e-05,0.007222604946610724,0.003064798191189766,0.7795324325561523,33.353739976882935
TiDE,2,40,79.37099195661999,1270.743014574051,1669.4385268688202,15,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_2/horizon_40/best-epoch=15-val_loss=0.0000.ckpt,18.013171195983887,4.7349731175927445e-05,0.006881114094093154,0.002761946292594075,0.8973013758659363,30.00510036945343
TiDE,3,40,80.4438648223877,1449.1210794448853,1853.1563487052917,17,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_3/horizon_40/best-epoch=17-val_loss=0.0000.ckpt,17.535162448883057,5.023879202781245e-05,0.007087932845887612,0.00292191538028419,0.7430989742279053,30.9090793132782
TiDE,4,40,81.98034545779228,896.149263381958,1313.9220016002655,10,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/checkpoints_tide_multirun_lon/run_4/horizon_40/best-epoch=10-val_loss=0.0000.ckpt,17.626240015029907,5.6446671806043014e-05,0.007513100013046746,0.003545715706422925,0.6320147514343262,42.79046356678009
